domain,ioc,uri_path,timestamp,source
ads.tcell.live,Possible Cobalt Strike C2 Domain,/turkcell,1665244800,C2IntelFeeds
api-connect-2b8c1bv.securesystem-dnsproviders.com,Possible Cobalt Strike C2 Domain,/owa/CuokjbBXfzv2Ri1uQVEQ,1665244800,C2IntelFeeds
baidencool.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1665244800,C2IntelFeeds
financials.morningstar.com,Possible Cobalt Strike C2 Domain,/ptj,1665244800,C2IntelFeeds
gisesralveevee.com,Possible Cobalt Strike C2 Domain,/g.pixel,1665244800,C2IntelFeeds
google.co.uk,Possible Cobalt Strike C2 Fronting Domain,/extension,1665244800,C2IntelFeeds
provider.apostrophehealth.com,Possible Cobalt Strike C2 Domain,/ca,1665244800,C2IntelFeeds
static.tcell.live,Possible Cobalt Strike C2 Domain,/turkcell,1665244800,C2IntelFeeds
yebicidake.com,Possible Cobalt Strike C2 Fronted Domain,/extension,1665244800,C2IntelFeeds
a4896dde2ff8edc7.azureedge.net,Possible Cobalt Strike C2 Domain,/safebrowsing/UVekwrW/hyEfAuDJ5fUE4JPstl8UK1IooJlyfzsH7w2KVTU,1665417601,C2IntelFeeds
amazon.com,Possible Cobalt Strike C2 Fronting Domain,/ki,1665417601,C2IntelFeeds
apistoragehub.com,Possible Cobalt Strike C2 Domain,/wp-includes/js/script/indigo-migrate,1665417601,C2IntelFeeds
as.lorends.com,Possible Cobalt Strike C2 Domain,/RELEASE.css,1665417601,C2IntelFeeds
d1ik6oouisqlak.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/UVekwrW/hyEfAuDJ5fUE4JPstl8UK1IooJlyfzsH7w2KVTU,1665417601,C2IntelFeeds
ebay.com,Possible Cobalt Strike C2 Fronting Domain,/boxes,1665417601,C2IntelFeeds
fewifasoc.com,Possible Cobalt Strike C2 Domain,/Make/Dir/E2WXETJGLCV,1665417601,C2IntelFeeds
fotacepan.com,Possible Cobalt Strike C2 Domain,/dev/contactinfo/Q6C0SQNV8O5,1665417601,C2IntelFeeds
google.co.in,Possible Cobalt Strike C2 Fronting Domain,/rw.css,1665417601,C2IntelFeeds
microsofer.top,Possible Cobalt Strike C2 Domain,/image/,1665417601,C2IntelFeeds
microsofer.top,Possible Cobalt Strike C2 Fronting Domain,/image/,1665417601,C2IntelFeeds
qw.lorends.com,Possible Cobalt Strike C2 Domain,/boxes.css,1665417601,C2IntelFeeds
ruropubiw.com,Possible Cobalt Strike C2 Fronted Domain,/ki,1665417601,C2IntelFeeds
service-66f7n2lg-1304697786.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x,1665417601,C2IntelFeeds
tetafup.com,Possible Cobalt Strike C2 Fronted Domain,/rw.css,1665417601,C2IntelFeeds
upd.kasperskyupdates.com,Possible Cobalt Strike C2 Domain,/css/jquery.min.js,1665417601,C2IntelFeeds
update.falsh.cf,Possible Cobalt Strike C2 Domain,/admin.php,1665417601,C2IntelFeeds
vodoyibije.com,Possible Cobalt Strike C2 Fronted Domain,/boxes,1665417601,C2IntelFeeds
www.microsofer.top,Possible Cobalt Strike C2 Fronted Domain,/image/,1665417601,C2IntelFeeds
zadiguser.com,Possible Cobalt Strike C2 Fronted Domain,/RELEASE,1665417601,C2IntelFeeds
zx.lorends.com,Possible Cobalt Strike C2 Domain,/RELEASE.css,1665417601,C2IntelFeeds
reddit.com,Possible Cobalt Strike C2 Fronting Domain,/RELEASE,1665417601,C2IntelFeeds
1779dd73700e2c0f.azureedge.net,Possible Cobalt Strike C2 Domain,/safebrowsing/ShAmN/jiOxEAYQKPyCUyB3yJsWoJF-RS5j8Euyw5hR2ckAMv,1665590400,C2IntelFeeds
api-trend-micro.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2021/10/JNIF2nSJbLyF3yCd5z8dEQ,1665590400,C2IntelFeeds
c1.amlhbmdtaw5namlh.top,Possible Cobalt Strike C2 Domain,/api/3,1665590400,C2IntelFeeds
carrier.huawei.com,Possible Cobalt Strike C2 Fronted Domain,/lib/v2/wcp-consent.js,1665590400,C2IntelFeeds
cc.claughs.ga,Possible Cobalt Strike C2 Domain,/api/3,1665590400,C2IntelFeeds
e45ebbf2c04facf2.azureedge.net,Possible Cobalt Strike C2 Domain,/safebrowsing/ShAmN/jiOxEAYQKPyCUyB3yJsWoJF-RS5j8Euyw5hR2ckAMv,1665590400,C2IntelFeeds
fazehotafa.com,Possible Cobalt Strike C2 Fronted Domain,/ak.css,1665590400,C2IntelFeeds
fooddash.fooddash.workers.dev,Possible Cobalt Strike C2 Domain,/image/,1665590400,C2IntelFeeds
kam12uiehuqrw.tk,Possible Cobalt Strike C2 Domain,/image/,1665590400,C2IntelFeeds
microsoft.radio.fm,Possible Cobalt Strike C2 Domain,/api/3,1665590400,C2IntelFeeds
nassoftware.shop,Possible Cobalt Strike C2 Domain,/remove,1665590400,C2IntelFeeds
pigahinilu.com,Possible Cobalt Strike C2 Domain,/Link/ar/8YHF9K0DM86,1665590400,C2IntelFeeds
service-9ftmdffn-1307765812.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit,1665590400,C2IntelFeeds
service-cijlwhop-1304480532.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit,1665590400,C2IntelFeeds
softupdatelive.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1665590400,C2IntelFeeds
sougouc.xyz,Possible Cobalt Strike C2 Domain,/api/3,1665590400,C2IntelFeeds
updatesoftlive.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1665590400,C2IntelFeeds
taobao.com,Possible Cobalt Strike C2 Fronting Domain,/ak.css,1665590400,C2IntelFeeds
