ip_address,port,hostname,country,as_number,as_name,status,first_seen,timestamp,malware,source
163.182.177.80,443,163-182-177-80-cstmr.msfiber.net,US,18615,MAINSTREAM-FIBER,offline,1666130097,1671321600,QakBot,Feodotracker
147.148.234.231,2222,,GB,2856,BT-UK-AS BTnet UK Regional network,offline,1670945357,1671321600,QakBot,Feodotracker
70.120.228.205,443,cpe-70-120-228-205.elp.res.rr.com,US,11427,TWC-11427-TEXAS,offline,1670828566,1671321600,QakBot,Feodotracker
92.186.69.229,2222,229.pool92-186-69.dynamic.orange.es,ES,12479,UNI2-AS,offline,1669804968,1671321600,QakBot,Feodotracker
76.100.159.250,443,c-76-100-159-250.hsd1.de.comcast.net,US,7922,COMCAST-7922,offline,1669642329,1671321600,QakBot,Feodotracker
78.92.133.215,443,4E5C85D7.catv.pool.telekom.hu,HU,5483,MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt.,online,1668537616,1671321600,QakBot,Feodotracker
152.171.41.171,443,171-41-171-152.fibertel.com.ar,AR,7303,Telecom Argentina S.A.,online,1667949464,1671321600,QakBot,Feodotracker
91.68.227.219,443,219.227.68.91.rev.sfr.net,FR,15557,LDCOMNET,offline,1667490205,1671321600,QakBot,Feodotracker
75.156.125.215,995,d75-156-125-215.bchsia.telus.net,CA,852,TELUS Communications,offline,1667490200,1671321600,QakBot,Feodotracker
62.35.100.38,443,i16-les04-th2-62-35-100-38.sfr.lns.abo.bbox.fr,FR,5410,BOUYGTEL-ISP,offline,1667407456,1671321600,QakBot,Feodotracker
76.125.91.160,443,c-76-125-91-160.hsd1.ar.comcast.net,US,7922,COMCAST-7922,offline,1667315534,1671321600,QakBot,Feodotracker
193.32.212.114,443,,ES,206318,ASN-CASTTELECOM,offline,1670667548,1671321600,QakBot,Feodotracker
85.7.61.22,2222,22.61.7.85.dynamic.wline.res.cust.swisscom.ch,CH,3303,SWISSCOM Swisscom Switzerland Ltd,online,1669642327,1671321600,QakBot,Feodotracker
87.243.146.59,443,87-243-146-59.ainet.at,AT,35370,AINET-AS,online,1668753916,1671321600,QakBot,Feodotracker
136.35.241.159,443,136-35-241-159.googlefiber.net,US,16591,GOOGLE-FIBER,online,1668710971,1671321600,QakBot,Feodotracker
61.92.123.169,443,061092123169.ctinets.com,HK,9269,HKBN-AS-AP Hong Kong Broadband Network Ltd.,offline,1668517355,1671321600,QakBot,Feodotracker
109.150.179.181,2222,host109-150-179-181.range109-150.btcentralplus.com,GB,2856,BT-UK-AS BTnet UK Regional network,offline,1671126382,1671321600,QakBot,Feodotracker
45.61.184.24,443,,US,53667,PONYNET,online,1671297941,1671321600,BumbleBee,Feodotracker
27.109.19.90,2078,,IN,17625,BLAZENET-IN-AP BlazeNets Network,offline,1666879742,1671408000,QakBot,Feodotracker
83.92.85.93,443,83-92-85-93-cable.dk.customer.tdc.net,DK,3292,TDC TDC AS,offline,1669749163,1671408000,QakBot,Feodotracker
90.66.229.185,2222,lfbn-lyo-1-2066-185.w90-66.abo.wanadoo.fr,FR,3215,France Telecom - Orange,online,1670648341,1671408000,QakBot,Feodotracker
90.79.129.166,2222,lfbn-idf1-1-1187-166.w90-79.abo.wanadoo.fr,FR,3215,France Telecom - Orange,offline,1670671738,1671408000,QakBot,Feodotracker
208.180.17.32,2222,,US,19108,SUDDENLINK-COMMUNICATIONS,online,1670853241,1671408000,QakBot,Feodotracker
184.189.41.80,443,wsip-184-189-41-80.hr.hr.cox.net,US,22773,ASN-CXA-ALL-CCI-22773-RDC,online,1670855047,1671408000,QakBot,Feodotracker
181.118.183.50,443,host50.181-118-183.nodosud.com.ar,AR,27953,NODOSUD S.A,online,1670883861,1671408000,QakBot,Feodotracker
69.159.156.133,2222,bras-base-mtrlpq2848w-grc-52-69-159-156-133.dsl.bell.ca,CA,577,BACOM,online,1670938156,1671408000,QakBot,Feodotracker
78.193.176.97,443,cri75-7-78-193-176-97.fbxo.proxad.net,FR,12322,PROXAD,offline,1671125483,1671408000,QakBot,Feodotracker
217.128.200.114,2222,lstlambert-658-1-110-114.w217-128.abo.wanadoo.fr,FR,3215,France Telecom - Orange,online,1671175887,1671408000,QakBot,Feodotracker
45.141.58.139,443,,SC,213373,IPCONNECT,online,1671384339,1671408000,BumbleBee,Feodotracker
87.220.205.65,2222,65.205.220.87.dynamic.jazztel.es,ES,12479,UNI2-AS,online,1671456948,1671408000,QakBot,Feodotracker
