domain,ioc,uri_path,timestamp,source
api.nodejs.cn,Possible Cobalt Strike C2 Fronting Domain,/audiencemanager.js,1671292800,C2IntelFeeds
cloudmane.online,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/2020/10/29136388_,1671292800,C2IntelFeeds
microupdate.online,Possible Cobalt Strike C2 Domain,/owa/,1671379200,C2IntelFeeds
www-souhu-com.tk,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1671379200,C2IntelFeeds
www.qax666.tk,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1671379200,C2IntelFeeds
cmdatabase.com,Possible Cobalt Strike C2 Domain,/groupcp.html,1671465600,C2IntelFeeds
us-central1-noted-processor-340815.cloudfunctions.net,Possible Cobalt Strike C2 Domain,/proxy/en-us/store/api/checkproductinwishlist,1671465600,C2IntelFeeds
dabiaoge.eu.org,Possible Cobalt Strike C2 Domain,/image/,1671552000,C2IntelFeeds
efgpfsbwjdwuivxyjwdx.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,1671552000,C2IntelFeeds
eserverx.com,Possible Cobalt Strike C2 Domain,/ku.css,1671552000,C2IntelFeeds
eserverx.com,Possible Cobalt Strike C2 Domain,/modules.css,1671552000,C2IntelFeeds
n1x.io,Possible Cobalt Strike C2 Domain,/match,1671552000,C2IntelFeeds
sso.twistettransistor.com,Possible Cobalt Strike C2 Fronted Domain,/favicon.css,1671552000,C2IntelFeeds
sso.twistettransistor.com,Possible Cobalt Strike C2 Fronted Domain,/search.css,1671552000,C2IntelFeeds
twistettransistor.com,Possible Cobalt Strike C2 Domain,/search.css,1671552000,C2IntelFeeds
twistettransistor.com,Possible Cobalt Strike C2 Domain,/template.css,1671552000,C2IntelFeeds
twistettransistor.com,Possible Cobalt Strike C2 Fronting Domain,/favicon.css,1671552000,C2IntelFeeds
twistettransistor.com,Possible Cobalt Strike C2 Fronting Domain,/search.css,1671552000,C2IntelFeeds
wustat-microsoft.com,Possible Cobalt Strike C2 Domain,/api/3,1671552000,C2IntelFeeds
www.twistettransistor.com,Possible Cobalt Strike C2 Fronted Domain,/favicon.css,1671552000,C2IntelFeeds
www.twistettransistor.com,Possible Cobalt Strike C2 Fronted Domain,/search.css,1671552000,C2IntelFeeds
cmdatabase.com,Possible Cobalt Strike C2 Domain,/eso.css,1671552000,C2IntelFeeds
7ce7c755fc664713a372e9ee635698da.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/updates,1671638400,C2IntelFeeds
aldrw.com,Possible Cobalt Strike C2 Domain,/channels,1671638400,C2IntelFeeds
c1.lucky365.games,Possible Cobalt Strike C2 Domain,/api/3,1671638400,C2IntelFeeds
dns-google.net,Possible Cobalt Strike C2 Domain,/api/3,1671638400,C2IntelFeeds
h3.rectificatelanguage.com,Possible Cobalt Strike C2 Domain,/src/js/jquery-3.3.1.min.js,1671638400,C2IntelFeeds
lin.buyshipping.ml,Possible Cobalt Strike C2 Domain,/ca,1671638400,C2IntelFeeds
serensa.nl,Possible Cobalt Strike C2 Domain,/functionalStatus/8-ddQOE0ZmY7GUmymBx7eVPEmmty,1671638400,C2IntelFeeds
ukmedia.store,Possible Cobalt Strike C2 Domain,/fam_cart,1671638400,C2IntelFeeds
update.mcrsoffice.workers.dev,Possible Cobalt Strike C2 Domain,/retrieve/analyse/QJQQ4QZ76WZ,1671638400,C2IntelFeeds
zyba.ceshi897.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,1671638400,C2IntelFeeds
logedin1.kasperslkyupdate.com,Possible Cobalt Strike C2 Domain,/css/jquery.min.js,1671724800,C2IntelFeeds
logedin2.kasperslkyupdate.com,Possible Cobalt Strike C2 Domain,/css/jquery.min.js,1671724800,C2IntelFeeds
poasnm.com,Possible Cobalt Strike C2 Domain,/aa,1671724800,C2IntelFeeds
poasnm.com,Possible Cobalt Strike C2 Domain,/hr,1671724800,C2IntelFeeds
protect.chrome-net.com,Possible Cobalt Strike C2 Domain,/activityi,1671811200,C2IntelFeeds
service-r0ft855s-1303896379.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit,1671811200,C2IntelFeeds
xedefeg.com,Possible Cobalt Strike C2 Fronted Domain,/FAQ,1671811200,C2IntelFeeds
