ip_address,port,hostname,country,as_number,as_name,status,first_seen,timestamp,malware,source
51.178.161.32,4643,srv-web.ffconsulting.com,FR,16276,OVH,online,1610869486,1664064000,Dridex,Feodotracker
45.55.191.130,443,,US,14061,DIGITALOCEAN-ASN,online,1656622813,1664064000,Emotet,Feodotracker
188.165.79.151,443,ip151.ip-188-165-79.eu,FR,16276,OVH,online,1656622812,1664064000,Emotet,Feodotracker
213.239.212.5,443,static.213-239-212-5.clients.your-server.de,DE,24940,HETZNER-AS,online,1656622812,1664064000,Emotet,Feodotracker
139.162.113.169,8080,li1597-169.members.linode.com,JP,63949,"LINODE-AP Linode, LLC",online,1655299045,1664064000,Emotet,Feodotracker
37.187.114.15,8080,ns328458.ip-37-187-114.eu,FR,16276,OVH,online,1655159520,1664064000,Emotet,Feodotracker
172.105.226.75,8080,li1880-75.members.linode.com,JP,63949,"LINODE-AP Linode, LLC",online,1655156818,1664064000,Emotet,Feodotracker
144.91.78.55,443,vmi324552.contaboserver.net,DE,51167,CONTABO,online,1655156815,1664064000,Emotet,Feodotracker
165.22.254.68,443,,SG,14061,DIGITALOCEAN-ASN,online,1654718707,1664064000,Emotet,Feodotracker
198.199.70.22,8080,,US,14061,DIGITALOCEAN-ASN,online,1654718705,1664064000,Emotet,Feodotracker
51.161.73.194,443,ip194.ip-51-161-73.net,CA,16276,OVH,online,1654709112,1664064000,Emotet,Feodotracker
138.197.68.35,8080,,US,14061,DIGITALOCEAN-ASN,online,1654634700,1664064000,Emotet,Feodotracker
165.227.153.100,8080,leogestionale.it,DE,14061,DIGITALOCEAN-ASN,online,1654522495,1664064000,Emotet,Feodotracker
207.154.208.93,8080,,DE,14061,DIGITALOCEAN-ASN,online,1654377894,1664064000,Emotet,Feodotracker
162.243.103.246,8080,,US,14061,DIGITALOCEAN-ASN,online,1654377893,1664064000,Emotet,Feodotracker
174.138.33.49,7080,,US,14061,DIGITALOCEAN-ASN,online,1656622813,1664064000,Emotet,Feodotracker
103.224.241.74,8080,cosshope.com,IN,133296,WEBWERKS-AS-IN Web Werks India Pvt. Ltd.,offline,1654158711,1664064000,Emotet,Feodotracker
168.119.40.176,443,static.176.40.119.168.clients.your-server.de,DE,24940,HETZNER-AS,online,1653722497,1664064000,BumbleBee,Feodotracker
161.97.91.52,443,cloud.csib.hu,DE,51167,CONTABO,online,1653386019,1664064000,BumbleBee,Feodotracker
159.89.202.34,443,,SG,14061,DIGITALOCEAN-ASN,online,1653023784,1664064000,Emotet,Feodotracker
173.82.82.196,8080,196-82-82-173-dedicated.multacom.com,US,35916,MULTA-ASN1,online,1653023782,1664064000,Emotet,Feodotracker
167.172.248.70,8080,,US,14061,DIGITALOCEAN-ASN,online,1652984984,1664064000,Emotet,Feodotracker
165.227.166.238,8080,,DE,14061,DIGITALOCEAN-ASN,online,1652984984,1664064000,Emotet,Feodotracker
51.91.142.26,443,,FR,16276,OVH,online,1652984983,1664064000,Emotet,Feodotracker
134.122.119.23,8080,,US,14061,DIGITALOCEAN-ASN,online,1652771708,1664064000,Emotet,Feodotracker
104.248.225.227,8080,,US,14061,DIGITALOCEAN-ASN,online,1652429411,1664064000,Emotet,Feodotracker
150.95.66.124,8080,v150-95-66-124.a005.g.bkk2.static.cnode.io,SG,135161,"GMO-Z-COM-TH GMO-Z com NetDesign Holdings Co., Ltd.",online,1652287635,1664064000,Emotet,Feodotracker
178.62.112.199,8080,,GB,14061,DIGITALOCEAN-ASN,online,1651043051,1664064000,Emotet,Feodotracker
104.34.212.7,32103,cpe-104-34-212-7.socal.res.rr.com,US,20001,TWC-20001-PACWEST,online,1650979141,1664064000,QakBot,Feodotracker
94.23.45.86,4143,ns369464.ip-94-23-45.eu,FR,16276,OVH,online,1650276635,1664064000,Emotet,Feodotracker
149.56.131.28,8080,28.ip-149-56-131.net,CA,16276,OVH,online,1649151701,1664064000,Emotet,Feodotracker
104.244.79.94,443,,LU,53667,PONYNET,online,1654158708,1664064000,Emotet,Feodotracker
104.168.155.143,8080,cns63397.hostwindsdns.com,US,54290,HOSTWINDS,online,1656622815,1664064000,Emotet,Feodotracker
104.248.155.133,443,,SG,14061,DIGITALOCEAN-ASN,online,1656622815,1664064000,Emotet,Feodotracker
128.199.93.156,7080,,SG,14061,DIGITALOCEAN-ASN,online,1656622816,1664064000,Emotet,Feodotracker
173.218.180.91,443,173-218-180-91.mid.dyn.suddenlink.net,US,19108,SUDDENLINK-COMMUNICATIONS,online,1663683069,1664064000,QakBot,Feodotracker
177.255.14.99,995,Dinamic-Tigo-177-255-14-99.tigo.com.co,CO,27831,Colombia Movil,online,1663627235,1664064000,QakBot,Feodotracker
45.153.243.126,443,,DE,30823,COMBAHTON combahton GmbH,online,1663605096,1664064000,BumbleBee,Feodotracker
68.224.229.42,443,ip68-224-229-42.lv.lv.cox.net,US,22773,ASN-CXA-ALL-CCI-22773-RDC,online,1663475314,1664064000,QakBot,Feodotracker
