ip_address,port,hostname,country,as_number,as_name,status,first_seen,timestamp,malware,source
89.101.97.139,443,089-101-097139.ntlworld.ie,IE,6830,"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA",online,1632904967,1665964800,QakBot,
190.199.186.117,2222,190-199-186-117.scr-03-p74.cantv.net,VE,8048,"CANTV Servicios, Venezuela",online,1666016901,1665964800,QakBot,
134.35.3.85,443,,YE,30873,PTC-YEMENNET,online,1666016899,1665964800,QakBot,
181.164.194.228,443,228-194-164-181.fibertel.com.ar,AR,7303,Telecom Argentina S.A.,online,1665987601,1665964800,QakBot,
54.38.136.144,443,,FR,16276,OVH,online,1665897429,1665964800,BumbleBee,
177.205.74.14,2222,177.205.74.14.dynamic.adsl.gvt.net.br,BR,18881,TELEFONICA BRASIL S.A,online,1665772614,1665964800,QakBot,
51.81.134.202,443,ip202.ip-51-81-134.us,US,16276,OVH,online,1665769627,1665964800,BumbleBee,
45.61.186.51,443,,US,53667,PONYNET,online,1665683825,1665964800,BumbleBee,
198.2.51.242,993,rrcs-198-2-51-242.west.biz.rr.com,US,20001,TWC-20001-PACWEST,online,1665671478,1665964800,QakBot,
186.64.87.202,443,host202.186-64-87.nodosud.com.ar,AR,27953,NODOSUD S.A,online,1665662188,1665964800,QakBot,
51.83.250.153,443,,RU,16276,OVH,online,1665630426,1665964800,BumbleBee,
138.197.64.211,7080,,US,14061,DIGITALOCEAN-ASN,online,1657089686,1665964800,Emotet,
103.253.145.28,8080,sgp1.sor.my,SG,14061,DIGITALOCEAN-ASN,online,1647307249,1665964800,Emotet,
207.204.120.40,443,,JM,30689,FLOW-NET,online,1666016916,1665964800,QakBot,
151.251.50.117,443,,BG,13124,A1,online,1666020506,1665964800,QakBot,
200.155.61.245,995,200-155-61-245.sercomtel.com.br,BR,22689,SERCOMTEL SA TELECOMUNICACOES,online,1666016901,1665964800,QakBot,
200.233.108.153,993,,BR,22689,SERCOMTEL SA TELECOMUNICACOES,online,1666016900,1665964800,QakBot,
14.246.151.175,443,static.vnpt.vn,VN,45899,VNPT-AS-VN VNPT Corp,offline,1666016899,1665964800,QakBot,
219.71.108.177,443,host-219-71-108-177.dynamic.kbtelecom.net,TW,9416,MULTIMEDIA-AS-AP Hoshin Multimedia Center Inc.,online,1666016898,1665964800,QakBot,
206.1.189.186,443,,VE,61461,Airtek Solutions C.A.,online,1666016897,1665964800,QakBot,
31.166.182.166,443,,SA,35819,MOBILY-AS Etihad Etisalat Company Mobily,offline,1665772631,1665964800,QakBot,
45.230.169.132,443,,VE,266742,SOLUCIONES DCN NETWORK C.A,offline,1665772615,1665964800,QakBot,
193.201.187.64,443,,HU,62214,RACKFOREST-AS,online,1665772615,1665964800,QakBot,
190.26.159.133,995,dynamic-190-26-159-133.dynamic.etb.net.co,CO,19429,ETB - Colombia,offline,1665772614,1665964800,QakBot,
45.230.169.132,995,,VE,266742,SOLUCIONES DCN NETWORK C.A,online,1665772612,1665964800,QakBot,
177.39.156.177,443,ns2.sjnettelecom.com.br,BR,52772,SJNET TELECOMUNICACOES - EIRELI,online,1643639431,1665964800,Emotet,
63.143.92.99,995,,JM,33576,DIG001,online,1633704511,1665964800,QakBot,
94.36.5.31,443,94-36-5-31.adsl-ull.clienti.tiscali.it,IT,8612,TISCALI-,online,1666018112,1665964800,QakBot,
190.74.4.20,443,190.74-4-20.dyn.dsl.cantv.net,VE,8048,"CANTV Servicios, Venezuela",online,1666016926,1665964800,QakBot,
181.197.41.173,443,,PA,18809,Cable Onda,online,1665784612,1666051200,QakBot,
197.158.87.248,443,,MG,328411,Gulfsat-Madagascar-AS,offline,1666100550,1666051200,QakBot,
177.152.65.142,443,177-152-65-142.PROXXIMA.NET,BR,262773,PROXXIMA TELECOMUNICACOES LTDA,online,1666101753,1666051200,QakBot,
186.177.93.18,2222,,CR,262197,MILLICOM CABLE COSTA RICA S.A.,online,1666103259,1666051200,QakBot,
102.47.218.41,443,host-102.47.218.41.tedata.net,EG,8452,TE-AS TE-AS,offline,1666024018,1666051200,QakBot,
70.173.248.13,443,ip70-173-248-13.lv.lv.cox.net,US,22773,ASN-CXA-ALL-CCI-22773-RDC,online,1666029088,1666051200,QakBot,
206.1.172.1,443,,VE,61461,Airtek Solutions C.A.,online,1666100539,1666051200,QakBot,
154.247.82.36,443,,DZ,36947,ALGTEL-AS,offline,1666100548,1666051200,QakBot,
103.124.107.109,443,,US,35913,DEDIPATH-LLC,online,1640614578,1666137600,BazarLoader,Feodotracker
45.61.185.227,443,,US,53667,PONYNET,online,1666115825,1666137600,BumbleBee,Feodotracker
206.1.208.223,2087,,VE,61461,Airtek Solutions C.A.,online,1666116757,1666137600,QakBot,Feodotracker
198.98.59.245,443,ny01.sleepless.tech,US,53667,PONYNET,online,1666198625,1666224000,BumbleBee,Feodotracker
45.153.242.242,443,,DE,30823,COMBAHTON combahton GmbH,online,1666238818,1666224000,BumbleBee,Feodotracker
186.18.210.16,443,cpe-186-18-210-16.telecentro-reversos.com.ar,AR,27747,Telecentro S.A.,online,1665671480,1666310400,QakBot,Feodotracker
