ip_address,port,hostname,country,as_number,as_name,status,first_seen,timestamp,malware,source
149.126.159.254,443,BSN-126-159-254.dynamic.siol.net,SI,5603,SIOL-NET Telekom Slovenije d.d.,offline,1664695245,1664668800,QakBot,Feodotracker
87.243.113.104,995,87-243-113-104.ip.btc-net.bg,BG,8866,BTC-AS BULGARIA,offline,1664788411,1664755200,QakBot,Feodotracker
149.28.156.183,443,149.28.156.183.vultrusercontent.com,SG,20473,AS-CHOOPA,online,1652984988,1664755200,Emotet,Feodotracker
196.207.146.151,443,,KE,15399,WANANCHI-,online,1664807470,1664755200,QakBot,Feodotracker
154.56.0.201,443,,US,60602,INOVARE-AS str. Uzinelor 21 of. 37,offline,1653386050,1664755200,BumbleBee,Feodotracker
146.59.117.200,443,,FR,16276,OVH,online,1664816085,1664755200,BumbleBee,Feodotracker
146.19.253.41,443,,RU,213373,IPCONNECT,offline,1664816475,1664755200,BumbleBee,Feodotracker
45.153.243.222,443,,DE,30823,COMBAHTON combahton GmbH,online,1664816476,1664755200,BumbleBee,Feodotracker
103.144.139.145,443,,MY,55720,GIGABIT-MY Gigabit Hosting Sdn Bhd,online,1664816477,1664755200,BumbleBee,Feodotracker
146.70.149.14,443,,SG,9009,M247,online,1664816478,1664755200,BumbleBee,Feodotracker
146.70.149.42,443,,SG,9009,M247,online,1664816479,1664755200,BumbleBee,Feodotracker
146.70.149.11,443,,SG,9009,M247,online,1664816479,1664755200,BumbleBee,Feodotracker
209.141.48.135,443,209-141-48-135.canada-ab.co,US,53667,PONYNET,online,1664816479,1664755200,BumbleBee,Feodotracker
146.59.116.77,443,,FR,16276,OVH,online,1664816479,1664755200,BumbleBee,Feodotracker
45.141.58.37,443,,SC,213373,IPCONNECT,offline,1664816479,1664755200,BumbleBee,Feodotracker
146.70.147.39,443,,US,9009,M247,online,1664816479,1664755200,BumbleBee,Feodotracker
192.119.74.28,443,hwsrv-1005655.hostwindsdns.com,US,54290,HOSTWINDS,offline,1664816480,1664755200,BumbleBee,Feodotracker
23.225.104.250,443,,US,40065,CNSERVERS,offline,1664846549,1664841600,QakBot,Feodotracker
46.10.105.160,443,46-10-105-160.ip.btc-net.bg,BG,8866,BTC-AS BULGARIA,online,1664843837,1664841600,QakBot,Feodotracker
134.35.11.71,443,,YE,30873,PTC-YEMENNET,online,1664843841,1664841600,QakBot,Feodotracker
54.38.138.5,443,,FR,16276,OVH,online,1664862972,1664841600,BumbleBee,Feodotracker
146.70.149.48,443,,SG,9009,M247,online,1664862973,1664841600,BumbleBee,Feodotracker
41.108.175.56,443,,DZ,36947,ALGTEL-AS,online,1664868143,1664841600,QakBot,Feodotracker
181.118.183.94,443,host94.181-118-183.nodosud.com.ar,AR,27953,NODOSUD S.A,online,1632904969,1664841600,QakBot,Feodotracker
160.179.220.87,995,,MA,36903,MT-MPLS,online,1664882577,1664841600,QakBot,Feodotracker
78.162.213.155,443,78.162.213.155.dynamic.ttnet.com.tr,TR,9121,TTNET,online,1664882578,1664841600,QakBot,Feodotracker
94.52.127.44,443,94-52-127-44.next-gen.ro,RO,48161,NG-AS Sos. Bucuresti - Ploiesti nr. 42-44,online,1664891575,1664841600,QakBot,Feodotracker
188.156.85.37,443,BC9C5525.catv.pool.telekom.hu,HU,5483,MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt.,offline,1664896073,1664841600,QakBot,Feodotracker
149.3.170.62,443,,SC,213373,IPCONNECT,online,1664906194,1664841600,BumbleBee,Feodotracker
186.86.212.138,443,dynamic-ip-18686212138.cable.net.co,CO,10620,Telmex Colombia S.A.,online,1664919474,1664841600,QakBot,Feodotracker
192.255.188.11,443,hwsrv-1005667.hostwindsdns.com,US,54290,HOSTWINDS,offline,1664943396,1664928000,BumbleBee,Feodotracker
45.66.151.193,443,,DE,43043,FASTPIPE fastpipe.io Cloud Infrastructure,offline,1664989295,1664928000,BumbleBee,Feodotracker
79.143.87.103,443,,GB,25369,BANDWIDTH-AS,offline,1664989594,1664928000,BumbleBee,Feodotracker
104.244.75.253,443,,LU,53667,PONYNET,online,1664989594,1664928000,BumbleBee,Feodotracker
146.70.149.45,443,,SG,9009,M247,online,1664992595,1664928000,BumbleBee,Feodotracker
82.12.196.197,443,cpc158705-smal21-2-0-cust196.19-1.cable.virginm.net,GB,5089,NTL,online,1665001456,1664928000,QakBot,Feodotracker
105.69.155.85,995,,MA,36884,MAROCCONNECT,offline,1665001463,1664928000,QakBot,Feodotracker
186.64.67.6,443,host6.186-64-67.nodosud.com.ar,AR,27953,NODOSUD S.A,online,1665001457,1664928000,QakBot,Feodotracker
190.193.180.228,443,228-180-193-190.cab.prima.net.ar,AR,7303,Telecom Argentina S.A.,offline,1665001461,1664928000,QakBot,Feodotracker
208.115.216.246,443,246-216-115-208.static.reverse.lstn.net,US,46475,LIMESTONENETWORKS,online,1665046596,1665014400,BumbleBee,Feodotracker
23.88.117.246,443,static.246.117.88.23.clients.your-server.de,DE,24940,HETZNER-AS,online,1653386049,1665014400,BumbleBee,Feodotracker
51.83.250.102,443,,RU,16276,OVH,online,1665046594,1665014400,BumbleBee,Feodotracker
192.119.77.44,443,hwsrv-1007148.hostwindsdns.com,US,54290,HOSTWINDS,offline,1665046595,1665014400,BumbleBee,Feodotracker
23.29.115.164,443,23-29-115-164.static.hvvc.us,US,29802,HVC-AS,online,1665080196,1665014400,BumbleBee,Feodotracker
198.84.123.61,443,hwsrv-1006887.hostwindsdns.com,US,54290,HOSTWINDS,offline,1665072095,1665014400,BumbleBee,Feodotracker
134.35.6.76,443,,YE,30873,PTC-YEMENNET,offline,1665072859,1665014400,QakBot,Feodotracker
45.147.231.156,443,,DE,30823,COMBAHTON combahton GmbH,online,1665080195,1665014400,BumbleBee,Feodotracker
45.61.186.18,443,,US,53667,PONYNET,online,1665080196,1665014400,BumbleBee,Feodotracker
118.216.99.232,443,,KR,9318,SKB-AS SK Broadband Co Ltd,online,1665099687,1665014400,QakBot,Feodotracker
145.239.28.55,443,,FR,16276,OVH,online,1665148956,1665100800,BumbleBee,Feodotracker
96.234.66.76,995,pool-96-234-66-76.nwrknj.fios.verizon.net,US,701,UUNET,offline,1665155389,1665100800,QakBot,Feodotracker
192.198.82.56,443,,US,31863,DACEN-2,offline,1665163057,1665100800,BumbleBee,Feodotracker
197.11.134.255,443,,TN,328880,STE-INTERNET-SMART-SOLUTIONS-AS,offline,1665168031,1665100800,QakBot,Feodotracker
54.37.131.164,443,,FR,16276,OVH,online,1665163056,1665100800,BumbleBee,Feodotracker
198.98.51.75,443,,US,53667,PONYNET,online,1665163057,1665100800,BumbleBee,Feodotracker
64.44.101.123,443,123-101-44-64.reverse-dns,US,20278,NEXEON,online,1665163057,1665100800,BumbleBee,Feodotracker
89.41.26.77,443,,US,9009,M247,online,1665163057,1665100800,BumbleBee,Feodotracker
197.94.70.41,443,197-94-70-41.hff.mweb.co.za,ZA,10474,OPTINET,offline,1665206459,1665187200,QakBot,Feodotracker
