ip_address,port,hostname,country,as_number,as_name,status,first_seen,timestamp,malware,source
103.159.224.46,7080,,ID,141147,IDNIC-SKNET-AS-ID PT Arkananta Global Media,online,1656622881,1665360000,Emotet,
42.189.2.151,80,,MY,4788,"TMNET-AS-AP TM Net, Internet Service Provider",online,1665410742,1665360000,QakBot,
51.210.176.76,443,vps-3a6c6346.vps.ovh.net,FR,16276,OVH,online,1646764548,1665360000,Emotet,
213.32.75.32,8080,ip-213-32-75.eu,FR,16276,OVH,online,1647295543,1665360000,Emotet,
96.125.171.165,7080,server.fdcteam.com,US,46606,UNIFIEDLAYER-AS-1,online,1656622868,1665360000,Emotet,
54.37.70.105,443,105.ip-54-37-70.eu,FR,16276,OVH,online,1657140911,1665360000,Emotet,
178.128.31.80,7080,,SG,14061,DIGITALOCEAN-ASN,online,1657170621,1665360000,Emotet,
165.22.211.113,8081,,IN,14061,DIGITALOCEAN-ASN,online,1657170623,1665360000,Emotet,
54.37.136.187,8080,187.ip-54-37-136.eu,FR,16276,OVH,online,1657320679,1665360000,Emotet,
45.11.19.86,443,,DE,30823,COMBAHTON combahton GmbH,online,1665337326,1665360000,BumbleBee,
134.35.4.128,443,,YE,30873,PTC-YEMENNET,online,1665410741,1665360000,QakBot,
197.92.143.218,443,197-92-143-218.hff.mweb.co.za,ZA,10474,OPTINET,online,1665410742,1665360000,QakBot,
197.204.78.120,443,,DZ,36947,ALGTEL-AS,online,1665410745,1665360000,QakBot,
190.100.149.122,995,pc-122-149-100-190.cm.vtr.net,CL,22047,VTR BANDA ANCHA S.A.,online,1665410745,1665360000,QakBot,
190.73.190.235,443,190.73-190-235.dyn.dsl.cantv.net,VE,8048,"CANTV Servicios, Venezuela",offline,1665410753,1665360000,QakBot,
41.97.127.116,443,,DZ,36947,ALGTEL-AS,online,1665414339,1665360000,QakBot,
190.11.198.76,443,host76.190-11-198.nodosud.com.ar,AR,27953,NODOSUD S.A,offline,1665507976,1665532800,QakBot,
179.113.97.4,32101,179-113-97-4.user.vivozap.com.br,BR,26599,TELEFONICA BRASIL S.A,online,1665507979,1665532800,QakBot,
