domain,ioc,uri_path,timestamp,source
api.cdnverificationlinks.com,Possible Cobalt Strike C2 Domain,/safebrowsing/rd/CltOb12nLW1IbHehcmUtd2hUdmFzEBAY7-0KIOkUDC7h2,1672502400,C2IntelFeeds
searchme.360niubiclass.tk,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php,1672502400,C2IntelFeeds
service-bqos07se-1301870681.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit,1672502400,C2IntelFeeds
www.falsespace.space,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,1672502400,C2IntelFeeds
xia0hel.tk,Possible Cobalt Strike C2 Domain,/load,1672502400,C2IntelFeeds
xia0hel.tk,Possible Cobalt Strike C2 Domain,/pixel.gif,1672502400,C2IntelFeeds
api.o365files.cn,Possible Cobalt Strike C2 Fronting Domain,/www/handle/doc,1672588800,C2IntelFeeds
complete-treat-357520.uc.r.appspot.com,Possible Cobalt Strike C2 Domain,/httpget,1672588800,C2IntelFeeds
freegaysnews.com,Possible Cobalt Strike C2 Domain,/inform/elements/UR98DBL2REU,1672588800,C2IntelFeeds
topgamenetwork.com,Possible Cobalt Strike C2 Domain,/sub/v5.85/UGE9MFNCD5,1672588800,C2IntelFeeds
jesofidiwi.com,Possible Cobalt Strike C2 Domain,/consolidate/v7.72/3AH5HD6X6KV,1672675200,C2IntelFeeds
www.linkkedin.life,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1672675200,C2IntelFeeds
d2dsya5bkwoi1u.cloudfront.net,Possible Cobalt Strike C2 Domain,/RELEASES,1672761600,C2IntelFeeds
www.jincheng4917.cn,Possible Cobalt Strike C2 Domain,/api/getit,1672761600,C2IntelFeeds
dash.cloudflareo.club,Possible Cobalt Strike C2 Domain,/us/ky/louisville/312-s-fourth-st.html,1672848000,C2IntelFeeds
p4nd41.ssndob.cn.com,Possible Cobalt Strike C2 Domain,/owa/ZA8T7tCWUqxk0xr5g8tqU7dMwNP5It5ebQtgDh,1672848000,C2IntelFeeds
p4nd42.ssndob.cn.com,Possible Cobalt Strike C2 Domain,/owa/ZA8T7tCWUqxk0xr5g8tqU7dMwNP5It5ebQtgDh,1672848000,C2IntelFeeds
qe6evcafs0.execute-api.us-east-1.amazonaws.com,Possible Cobalt Strike C2 Domain,/api/fetch,1672848000,C2IntelFeeds
complete-treat-357520.uc.r.appspot.com,Possible Cobalt Strike C2 Domain,/x,1672848000,C2IntelFeeds
d29mvmlv0uf9l3.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/znHZ7RLT/62ySsk3O0KeHqJYXoPp8mLigdTDg,1672934400,C2IntelFeeds
eba529b82f587655.azureedge.net,Possible Cobalt Strike C2 Domain,/safebrowsing/znHZ7RLT/62ySsk3O0KeHqJYXoPp8mLigdTDg,1672934400,C2IntelFeeds
f2eafd14a457abd8.azureedge.net,Possible Cobalt Strike C2 Domain,/safebrowsing/znHZ7RLT/62ySsk3O0KeHqJYXoPp8mLigdTDg,1672934400,C2IntelFeeds
jquery.zings.tk,Possible Cobalt Strike C2 Domain,/dot.gif,1672934400,C2IntelFeeds
itbusinessusa.com,Possible Cobalt Strike C2 Domain,/nd.html,1672934400,C2IntelFeeds
clarkitservices.com,Possible Cobalt Strike C2 Domain,/modcp,1673020800,C2IntelFeeds
feifei.waltf.space,Possible Cobalt Strike C2 Fronting Domain,/modcp,1673020800,C2IntelFeeds
logedin.ssndob.cn.com,Possible Cobalt Strike C2 Domain,/css/jquery.min.js,1673020800,C2IntelFeeds
p4nd4.bbcinternationalnews.com,Possible Cobalt Strike C2 Fronting Domain,/css/jquery.min.js,1673020800,C2IntelFeeds
solutions.calibet.solutions,Possible Cobalt Strike C2 Fronted Domain,/api/x,1673020800,C2IntelFeeds
topsafelive.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2020/10/29136388_,1673020800,C2IntelFeeds
service-bqos07se-1301870681.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronted Domain,/modcp,1673020800,C2IntelFeeds
